,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
NLRP6,6.70449516103807e-23,1.2326465141963,0.032,0.014,1.45983677636443e-18
JOSD1,7.09921223588832e-23,0.512010067777523,0.128,0.091,1.54578247224232e-18
AIM2,8.0129581640242e-23,-1.25280685367567,0.011,0.026,1.74474151063463e-18
NUDT2,1.0667171236035e-22,0.582244316178612,0.104,0.071,2.32266986493425e-18
UBL5,2.15901816047121e-22,-0.194193772828603,0.539,0.587,4.70104614261002e-18
TALDO1,2.67563562244133e-22,-0.341787277490176,0.265,0.314,5.82592900430375e-18
DNAJB1,3.71860777130582e-22,0.214742145158662,0.583,0.537,8.0968965612413e-18
LITAF,3.96980462845913e-22,0.200432549650333,0.639,0.588,8.64385259800692e-18
LY6E,4.25854989955033e-22,-0.266428372309738,0.624,0.656,9.27256655128089e-18
PRELID1,4.69523507339687e-22,-0.268058227131647,0.344,0.394,1.02234048488143e-17
OLR1,5.28343107186679e-22,3.42364488413924,0.011,0.001,1.15041428158827e-17
UBE2L6,9.55637415280358e-22,-0.354699327557854,0.247,0.294,2.08080490803145e-17
UBC,1.33912763556796e-21,-0.109419782342784,0.917,0.937,2.91581651368568e-17
BTN3A2,1.67539787116025e-21,-0.316557606046899,0.238,0.286,3.64801132466434e-17
FCRL5,1.73234447186717e-21,-1.62141273395624,0.009,0.022,3.77200685304357e-17
HBB,2.02030284035329e-21,-3.13999104831947,0.004,0.013,4.39900740458525e-17
IFI27L2,2.10788854264713e-21,-0.367775692030889,0.178,0.222,4.58971651275985e-17
KCTD12,2.25560047198875e-21,-0.683182485948165,0.05,0.078,4.9113444677083e-17
SERTAD1,2.29569682085022e-21,0.448955511484508,0.177,0.136,4.99865025771927e-17
CD84,2.60232342382628e-21,-0.514913112655557,0.085,0.119,5.66629902303933e-17
AREG,2.84069277750129e-21,0.43486214486378,0.192,0.149,6.18532445373131e-17
SRSF3,3.38170704849009e-21,0.225307795969091,0.513,0.466,7.36332892738232e-17
PRAM1,3.4734020677465e-21,-0.6450040344121,0.072,0.103,7.56298566231122e-17
PHB2,3.51431835624665e-21,-0.261237398894516,0.358,0.408,7.65207678889146e-17
CSK,4.02078340967572e-21,-0.279855354977082,0.252,0.301,8.75485379622792e-17
RBM3,4.60456404128255e-21,0.158318588628994,0.732,0.694,1.00259777434886e-16
TUBA4A,5.82148782292079e-21,0.298171451399407,0.371,0.323,1.26757075856277e-16
PCBP1,6.55589710511199e-21,-0.142952156995581,0.752,0.776,1.42748103566708e-16
FCN1,6.80589329467186e-21,-0.498927178392452,0.126,0.164,1.48191520598185e-16
S100A9,8.53257823112511e-21,-0.555216065848204,0.14,0.178,1.85788358404518e-16
IDI1,8.53466240171401e-21,0.340422050223219,0.281,0.234,1.85833739134921e-16
IL32,1.22849337692311e-20,-0.245691402279536,0.648,0.662,2.67492147891237e-16
RAB37,1.41879390636884e-20,-0.415318219747816,0.144,0.184,3.08928185172751e-16
ANXA2,1.44272070861099e-20,-0.31364190798146,0.281,0.327,3.14138007092957e-16
LINC02446,1.76701996415097e-20,-0.371994972810339,0.147,0.187,3.84750926994232e-16
LYZ,1.95857223940774e-20,-0.41228850838593,0.143,0.183,4.2645951940864e-16
