,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ZBTB2,0.0041775993341494,-0.19007482125933,1,1,1
USP10,0.00419644385481142,-0.0159656511986198,1,1,1
CRIP1,0.00425267402404581,-0.35767423429175,1,1,1
NLRP6,0.00430318118090829,-0.244040306681735,1,1,1
ELL2,0.00441176576070983,0.11134044820043,1,1,1
HAR1B,0.00443663314278088,-0.430201456907843,1,1,1
CHRNA1,0.00448192510448833,-0.710526656033226,1,1,1
HACD2,0.00451603435656698,-0.210442346958352,1,1,1
EPAS1,0.00456025497424888,-0.553136311345322,1,1,1
MMP9,0.00467527465726336,-0.558350843313049,1,1,1
MBD3L1,0.0047237288268173,-0.695019071590077,0.75,1,1
CEBPA,0.00491589068649334,-0.64509877836446,1,1,1
FEM1A,0.00492381802500723,-0.18997565461071,1,1,1
PNKD,0.0049383195483478,-0.358107363999732,1,1,1
ZSCAN25,0.00494367840368621,-0.235237561560448,1,1,1
AC009093.6,0.00494930814753956,-0.698986686255775,1,1,1
SLC3A2,0.00502417349650903,0.18227356933842,1,1,1
AC020656.1,0.00509785767022842,-1.01785461108451,1,1,1
MGME1,0.00513847271851726,-0.596728767841689,1,1,1
ZNF75A,0.00523641819379366,-0.059543691422981,1,1,1
ST3GAL6,0.00533415394292531,-0.66782356248267,1,1,1
MARVELD1,0.00542748067312699,-0.656140145722287,1,1,1
ARID3A,0.00553789872431654,-0.544798479906802,1,1,1
AC012181.1,0.00556120567985861,-0.695088477827392,1,1,1
AC005332.1,0.00560005274100374,-0.658569389147421,1,1,1
PCBD2,0.00561345095792964,-0.597214991674027,1,1,1
TSC22D2,0.00561614291343637,-0.0154335497519424,1,1,1
NACAD,0.00562532750565622,-0.652159934603379,0.875,0.2,1
ZFY,0.00569765028526144,-0.140609398175851,1,1,1
DAB2,0.00570044253488789,-0.660252580377192,1,1,1
GJB6,0.00575702639251609,-0.604383150601418,1,0.4,1
AC233976.1,0.00576425776461518,-0.455177339870224,1,1,1
CDKN2AIP,0.00580324673551951,0.0215658666288099,1,1,1
DHCR7,0.00586281560177594,-0.234703201084349,1,1,1
ARL5B,0.00587547258261373,-0.169280524684385,1,1,1
FXR2,0.00589338672060685,-0.63522709797925,1,1,1
NAE1,0.00593540010962396,-0.0676829982223006,1,1,1
CDCA7,0.00593544087375341,-0.684306953686605,1,1,1
ZNF718,0.00595707452793039,-0.296256055290533,1,1,1
CAMSAP3,0.00598562028600613,-0.690039396832566,0,0.8,1
IGHV1-3,0.00600991378912502,1.46341334509296,1,1,1
PSD4,0.00602367509839705,-0.451455482728402,1,1,1
TRPM2,0.00605730716137535,-0.627451818383995,1,1,1
SAP30L,0.00618690540330425,-0.607660545911054,1,1,1
LINC01284,0.00625774944549844,-0.645021786649996,1,0.8,1
MPHOSPH10,0.00635745957920097,-0.04145015603802,1,1,1
KLHDC10,0.00643096033199698,-0.583794806432726,1,1,1
CHCHD5,0.00657621560667417,-0.338500524132189,1,1,1
FAM120B,0.00669459740694955,-0.147103729604057,1,1,1
MYNN,0.00669666629530528,-0.153972483978362,1,1,1
ZNF574,0.00677816879319183,-0.231221915559126,1,1,1
IDO1,0.00680267378373457,-0.700132011508495,1,1,1
CORO2A,0.00686266256788156,-0.302289414038691,1,1,1
PDCD5,0.00686989876930697,-0.343265900566491,1,1,1
AC092580.4,0.00687743417313867,-0.694170110985274,0.125,0.8,1
STX3,0.0069392613298206,-0.569615386193947,1,1,1
C2orf76,0.00696605494012941,-0.563869632289362,1,1,1
HOXA10,0.00700995301250457,-0.574280669789329,1,0.8,1
ENTPD1,0.00705337739038034,-0.557873676840565,1,1,1
IGHV3-53,0.00705380706799424,0.123310455544108,1,1,1
CARS,0.00712096211786613,-0.443144477805296,1,1,1
LINC02240,0.00716990239635496,-0.689861559677541,0.125,0.8,1
AL121787.1,0.00718320377019262,-0.496257533816446,1,1,1
FZD2,0.00724424652891717,-0.694825007316353,1,1,1
UQCC3,0.00727005412628621,-0.457785308764794,1,1,1
SYT1,0.00731687330040947,-0.712056710689787,1,1,1
SLCO4A1,0.00740252865654402,-0.548644751921682,1,1,1
WDR33,0.00761968394975624,0.0486259261291608,1,1,1
TBC1D3L,0.00764861047333271,-0.697595963849744,1,1,1
C2CD2L,0.00774833450288826,-0.575300419900166,1,1,1
NUP35,0.00779728476288785,-0.387465284600189,1,1,1
LINC02193,0.00780445850533338,-0.662546895170988,1,1,1
TRAV41,0.00781006501334298,-0.684821567990929,1,1,1
FAM13B,0.00788440015690539,-0.010279129569022,1,1,1
LINC02356,0.0078935977252512,-0.67819655672221,1,1,1
AS3MT,0.0079134320511189,-0.687030461720054,1,1,1
POGZ,0.00794592722565352,-0.0618385464084567,1,1,1
PFKFB3,0.00795813072231629,0.318388987898991,1,1,1
PDGFRA,0.00821079248048035,-0.691262266718867,0.625,1,1
JMJD7,0.00823898244771972,-0.162565801181696,1,1,1
S1PR1,0.00825287111652887,0.30832264732437,1,1,1
ETFDH,0.0083069895167564,-0.128087155474696,1,1,1
PFDN6,0.00839080252165169,-0.492596043807482,1,1,1
PPP4R4,0.00851288899983814,-0.651021884170417,1,0.6,1
TC2N,0.00852280737734669,0.119783621409038,1,1,1
AC004846.1,0.00867752805721013,-0.696585255437316,0.875,1,1
ZNF614,0.0087430062774292,-0.34521589416974,1,1,1
TRIM39,0.00875501564401873,-0.254970024250353,1,1,1
CCR4,0.00877240565345667,-0.283226336906219,1,1,1
HERC3,0.00882659716636384,-0.233618837998598,1,1,1
IGHV4-59,0.009005702063487,0.561614181554323,1,1,1
HSPA13,0.00916197194040585,-0.138282543735101,1,1,1
LSMEM1,0.00919077145194529,-0.629513427445769,1,1,1
ACVRL1,0.00928124813144035,-0.690448295646112,0.875,1,1
NANOS1,0.00940681799503599,-0.663949364542722,0.75,0,1
CUL1,0.00942140605955739,-0.00239848889133898,1,1,1
CD5,0.00949243566393903,0.267850126596557,1,1,1
RFXANK,0.00959191548734976,-0.37016381415254,1,1,1
AC022167.3,0.0096357731229271,-0.514092867272927,1,1,1
CATIP-AS1,0.0096470456189016,-0.693532217631532,1,1,1
ADAMTSL4,0.00966837217598488,-0.620355261718159,1,1,1
IGSF22,0.00967923262955081,-0.690359734178013,1,1,1
P2RY13,0.00981005030565259,-0.701155285960339,1,1,1
AC011445.2,0.00981842349250051,-0.645509919796242,1,1,1
ZNF845,0.009842904297408,-0.418028228290377,1,1,1
GPR146,0.00991289978210794,-0.338262178952217,1,1,1
AC005306.1,0.00999721871757576,-0.681622498424392,1,1,1
CACNB4,0.00999926635181744,-0.689951897123058,1,1,1
CASTOR1,0.0100585464777318,-0.31099911282592,1,1,1
TRMT2B,0.0100651503422095,-0.154616063915892,1,1,1
ZSCAN12,0.010095141087814,-0.472962981588034,1,1,1
LINC02580,0.0101048928917936,-0.669982396315935,1,1,1
ABHD10,0.0101483115103344,-0.189638912661855,1,1,1
TUBB6,0.0103780361346998,-0.704624171015847,1,1,1
ZC3H12A,0.0104502648100386,0.198485627593897,1,1,1
GSTO1,0.0104945983223151,-0.364264344758536,1,1,1
SOGA1,0.010810683927349,-0.641942134348118,1,1,1
KCTD12,0.0109093704220353,-0.606846427454308,1,1,1
GNMT,0.0109300540266911,-0.700245678000989,0.875,1,1
ELP5,0.0109382842057144,-0.466737545185646,1,1,1
