,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
GLB1,0.014078711444949,-0.119186595091473,0.055,0.06,1
EID3,0.0141021573509782,0.18417029502427,0.032,0.028,1
SLC25A22,0.0141169738434475,-0.160130530027148,0.036,0.04,1
INPP1,0.0141289256348586,-0.222748512706707,0.016,0.019,1
AL133243.3,0.0141520802907616,0.238414007782015,0.017,0.015,1
CAMTA2,0.0141704302489911,0.132023676407687,0.059,0.054,1
C1orf216,0.0141950179864496,-0.23410744681574,0.015,0.018,1
IMPA2,0.0142241773315223,-0.239371322183386,0.014,0.017,1
RPE,0.0142546380672026,-0.204152383211428,0.023,0.026,1
VMP1,0.0142869780677753,-0.112693818945077,0.135,0.142,1
DPP3,0.0143340801595678,-0.146148827328502,0.038,0.042,1
NOC3L,0.0143417642708562,-0.167233484756799,0.03,0.034,1
FNDC3A,0.0144063134037175,0.121773742171473,0.077,0.072,1
CDK14,0.0144096317057046,0.287603181003494,0.015,0.012,1
NBR2,0.0144185138440207,0.313633428092849,0.012,0.01,1
ABHD8,0.0144454241859335,-0.241264374601558,0.016,0.019,1
ICE2,0.0144543626729008,0.11571020553778,0.073,0.067,1
ADAMTS10,0.0144926461705372,0.207467007309608,0.029,0.025,1
CWC22,0.0145278729613385,0.121910809036607,0.066,0.061,1
AC007384.1,0.0145411737023107,0.137738794632962,0.077,0.071,1
RHBDD1,0.0145609825201199,0.2070174061921,0.026,0.022,1
FCGR2B,0.0146331551841072,0.151045316340324,0.042,0.037,1
CRAMP1,0.0146423008053159,0.237482184697214,0.018,0.015,1
NBPF3,0.0147985758216486,-0.234549915463073,0.018,0.021,1
RRP12,0.0148602139028227,0.134887308017063,0.066,0.061,1
SGMS1,0.0148718829724485,0.123844981194608,0.065,0.059,1
ARSD,0.0149112144070726,-0.274555364249525,0.014,0.016,1
CERS6,0.0149194266186892,0.164222107080228,0.034,0.03,1
AL359513.1,0.0149508927593411,0.231564587162007,0.02,0.017,1
AC004889.1,0.0149653082695104,-0.277255726361772,0.012,0.015,1
