group,names,scores,logfoldchanges,pvals,pvals_adj
15,HSP90AA1,14.672816,4.0220156,9.626514748139537e-49,1.8006395836395005e-45
15,STMN1,14.654644,8.170318,1.2581498557126677e-48,2.1215170648761295e-45
15,CFL1,14.647177,3.962954,1.4043135926272646e-48,2.1215170648761295e-45
15,HMGN2,14.6440525,4.963776,1.4703748843601903e-48,2.1215170648761295e-45
15,ANP32B,14.642142,3.8352463,1.5122637903420688e-48,2.1215170648761295e-45
15,CHCHD2,14.621126,3.705473,2.059635749732595e-48,2.719446119911637e-45
15,TUBA1B,14.58707,6.058517,3.39464061529356e-48,4.135379315337051e-45
15,ATP5MC3,14.584975,4.0465965,3.5004992867951514e-48,4.135379315337051e-45
15,ACTG1,14.561123,4.1987147,4.963545691944233e-48,5.3106273430189025e-45
15,TMSB4X,14.561055,3.095796,4.9685099440166154e-48,5.3106273430189025e-45
15,SLC25A5,14.5391245,4.416136,6.846308283200183e-48,6.985101623850515e-45
15,MYL6,14.501591,3.4453497,1.1837461618036238e-47,1.1552333194714844e-44
15,SUB1,14.483202,3.8536844,1.5471919716268326e-47,1.347188441366102e-44
15,YBX1,14.482997,3.5098984,1.551814156830521e-47,1.347188441366102e-44
15,ACTR3,14.482614,4.037625,1.5604962788701173e-47,1.347188441366102e-44
15,ARPC2,14.467166,3.5082576,1.953559849336292e-47,1.5809913226787376e-44
15,DUT,14.466514,5.5038123,1.9721891221155062e-47,1.5809913226787376e-44
15,PPP1CA,14.463635,3.987792,2.0564171092184185e-47,1.5916668425350558e-44
15,SNRPB,14.453113,4.205841,2.3960804430148634e-47,1.7927473874637207e-44
15,ARHGDIB,14.44076,3.4289558,2.8666491278706956e-47,2.0756389136834078e-44
15,SLC25A3,14.423278,3.5558782,3.693740932262106e-47,2.590928405173601e-44
15,ATP5MG,14.417808,3.0661724,3.998428473766939e-47,2.6997110926056554e-44
15,DEK,14.416255,4.720893,4.0893779358724175e-47,2.6997110926056554e-44
15,LCP1,14.3824835,3.6270034,6.665881746714585e-47,4.263143359251075e-44
15,TMA7,14.379496,2.7166262,6.959956736897616e-47,4.263143359251075e-44
15,TXN,14.377818,4.492795,7.130742364230976e-47,4.263143359251075e-44
15,CD99,14.376983,3.6140313,7.217296963892937e-47,4.263143359251075e-44
